Object,Date,Distance,Width,SigmaImpact,SigmaLOV,StretchLOV,ImpactProbability,ImpactEnergy,PalermoScale,TorinoScale
1994WR12,2062-11-24.47,0.38,&lt;1.e-04,0.000,-0.48284,1.68e+06,4.0e-07,7.14e+01,-5.08,0
1994WR12,2062-11-24.63,0.81,3.14e-02,0.000,0.96225,4.38e+06,6.7e-08,7.27e+01,-5.85,0
1994WR12,2063-11-24.90,0.81,&lt;1.e-04,0.000,2.77597,6.70e+05,1.7e-08,7.46e+01,-6.45,0
1994WR12,2065-11-24.34,0.21,&lt;1.e-04,0.000,1.19256,1.19e+06,3.3e-07,7.30e+01,-5.18,0
1994WR12,2066-11-24.57,0.57,&lt;1.e-04,0.000,2.68940,5.34e+05,3.7e-08,7.46e+01,-6.13,0
1994WR12,2067-11-25.00,0.51,3.74e-03,0.000,2.78785,9.70e+04,1.6e-07,7.44e+01,-5.49,0
1994WR12,2068-11-23.98,0.36,3.93e-03,0.000,1.10368,1.80e+05,2.3e-06,7.30e+01,-4.37,0
1994WR12,2068-11-24.07,0.62,&lt;1.e-04,0.000,-0.52817,6.19e+06,8.9e-08,7.14e+01,-5.78,0
1994WR12,2069-11-24.21,0.50,4.61e-03,0.000,2.16905,1.92e+05,3.7e-07,7.40e+01,-5.16,0
1994WR12,2069-11-24.23,0.43,4.17e-03,0.000,2.17015,1.68e+05,4.4e-07,7.40e+01,-5.09,0
1994WR12,2069-11-24.28,0.36,3.93e-03,0.000,2.17514,3.33e+05,2.3e-07,7.40e+01,-5.37,0
1994WR12,2069-11-24.33,0.86,&lt;1.e-04,0.000,-1.27180,3.31e+06,5.8e-08,7.06e+01,-5.98,0
1994WR12,2069-11-24.42,0.05,3.93e-03,0.000,3.13606,3.63e+05,1.9e-08,7.49e+01,-6.44,0
1994WR12,2070-11-24.54,0.27,&lt;1.e-04,0.000,2.11510,1.00e+06,8.7e-08,7.39e+01,-5.79,0
1994WR12,2070-11-24.56,1.00,4.05e-03,0.681,1.11334,6.75e+04,1.0e-07,7.29e+01,-5.74,0
1994WR12,2071-11-24.69,0.72,1.26e-01,0.000,2.17036,1.03e+07,5.2e-09,7.41e+01,-7.02,0
1994WR12,2071-11-24.72,0.25,5.56e-03,0.000,2.41001,7.36e+05,6.3e-08,7.43e+01,-5.94,0
1994WR12,2071-11-24.75,0.92,6.80e-03,0.000,0.91808,4.80e+05,4.2e-07,7.30e+01,-5.12,0
1994WR12,2071-11-24.83,0.07,7.86e-03,0.000,1.86142,8.78e+05,1.7e-07,7.38e+01,-5.52,0
1994WR12,2072-11-24.02,0.28,3.14e-02,0.000,-0.90146,3.97e+06,1.3e-07,7.10e+01,-5.64,0
1994WR12,2072-11-24.06,0.23,3.67e-03,0.000,-1.47294,1.75e+05,1.6e-06,7.05e+01,-4.56,0
1994WR12,2072-11-24.07,0.07,3.93e-03,0.000,0.47427,7.74e+04,9.2e-06,7.23e+01,-3.79,0
1994WR12,2073-11-24.30,0.19,3.93e-03,0.000,1.20100,5.20e+05,7.4e-07,7.30e+01,-4.89,0
1994WR12,2073-11-24.31,0.81,1.11e-02,0.000,-1.69143,1.38e+06,8.9e-08,7.02e+01,-5.83,0
1994WR12,2073-11-24.32,0.85,3.14e-02,0.000,1.87918,3.77e+06,2.0e-08,7.37e+01,-6.47,0
1994WR12,2073-11-24.34,0.94,&lt;1.e-04,0.000,-1.27441,3.15e+06,4.0e-08,7.06e+01,-6.17,0
1994WR12,2074-11-24.50,0.53,&lt;1.e-04,0.000,-1.70636,3.82e+06,4.5e-08,7.04e+01,-6.12,0
1994WR12,2074-11-24.52,0.78,3.14e-02,0.000,-0.88624,3.82e+06,9.0e-08,7.12e+01,-5.82,0
1994WR12,2075-11-24.77,0.55,&lt;1.e-04,0.000,1.42858,2.69e+06,9.1e-08,7.32e+01,-5.81,0
1994WR12,2076-11-23.97,0.61,&lt;1.e-04,0.000,-1.46513,9.99e+05,2.3e-07,7.06e+01,-5.43,0
1994WR12,2076-11-23.98,0.94,3.93e-03,0.000,-0.83706,2.05e+05,9.8e-07,7.12e+01,-4.80,0
1994WR12,2076-11-24.01,0.34,5.56e-03,0.000,-1.85892,3.71e+05,4.0e-07,7.03e+01,-5.19,0
1994WR12,2077-11-24.24,0.66,&lt;1.e-04,0.000,0.45433,5.20e+06,1.0e-07,7.24e+01,-5.77,0
1994WR12,2077-11-24.24,0.56,6.29e-02,0.000,1.89132,9.09e+06,1.3e-08,7.39e+01,-6.68,0
1994WR12,2077-11-24.28,0.15,&lt;1.e-04,0.000,0.93711,5.13e+06,1.0e-07,7.29e+01,-5.79,0
1994WR12,2077-11-24.37,0.07,1.57e-02,0.000,0.92869,2.02e+06,2.6e-07,7.29e+01,-5.38,0
1994WR12,2078-11-24.34,0.38,1.57e-02,0.000,-1.85691,1.42e+06,1.0e-07,7.03e+01,-5.80,0
1994WR12,2078-11-24.43,0.37,4.44e-02,0.000,-0.83672,3.24e+06,1.7e-07,7.11e+01,-5.58,0
1994WR12,2078-11-24.46,0.58,&lt;1.e-04,0.000,-1.85879,1.15e+07,1.1e-08,7.02e+01,-6.76,0
1994WR12,2078-11-24.50,0.42,3.54e-03,0.000,-4.24675,1.18e+05,1.2e-09,6.78e+01,-7.74,0
1994WR12,2078-11-24.56,0.87,&lt;1.e-04,0.000,-1.30652,1.39e+06,1.3e-07,7.06e+01,-5.70,0
1994WR12,2078-11-24.56,0.63,&lt;1.e-04,0.000,-1.30283,1.94e+06,1.4e-07,7.06e+01,-5.65,0
1994WR12,2079-11-24.67,0.30,1.11e-02,0.000,-0.69210,1.02e+06,6.0e-07,7.15e+01,-5.03,0
1994WR12,2079-11-24.75,0.62,3.93e-03,0.000,1.88315,1.09e+05,1.0e-06,7.39e+01,-4.79,0
1994WR12,2079-11-24.76,0.27,&lt;1.e-04,0.000,-1.25043,3.35e+06,1.1e-07,7.08e+01,-5.77,0
1994WR12,2080-11-24.08,0.37,&lt;1.e-04,0.000,-1.30187,2.98e+06,1.1e-07,7.06e+01,-5.77,0
1994WR12,2080-11-24.08,0.69,1.57e-02,0.000,-1.30820,1.70e+06,1.5e-07,7.06e+01,-5.64,0
1994WR12,2081-11-24.25,1.02,1.57e-02,1.615,2.02280,2.10e+06,2.9e-10,7.38e+01,-8.35,0
